"County"	"Month"	"Year"	"Region"	"A1PRCSoffendersreleased"	"A2PRCSwarrantbeforecount"	"A3PRCSclosures612monthscount"	"A4PRCSclosures1yearcount"	"A5PRCSclosures18monthscount"	"A7ActivePRCSoffenderspopulationsnapshot"	"A8ActivePRCSwarrantafterpopulationsnapshot"	"A9PRCSCompletions"	"B11170hajailonlysentencescount"	"B21170hbsplitsentencescount"	"B3ActiveMandatorySupervisionpopulationsnapshot"	"B4MandatorySupervisionCompletionsCount"	"C1Newfelonyprobationgrantscount"
"Siskiyou"	"September"	"2014"	"North"	"3"	"0"	"0"	"0"	"0"	"54"	"0"	"0"	"1"	"0"	"20"	"0"	"22"
"Solano"	"September"	"2014"	"Bay"	"17"	"0"	"3"	"4"	"3"	"278"	"28"	"13"	"18"	"5"	"121"	"2"	"78"
"Sonoma"	"September"	"2014"	"Bay"	"10"	"0"	"0"	"4"	"1"	"200"	"20"	"8"	"3"	"8"	"124"	"16"	"60"
"Stanislaus"	"September"	"2014"	"Central"	"36"	"8"	"0"	"10"	"4"	"823"	"20"	"24"	"12"	"31"	"510"	"18"	"232"
"Sutter"	"September"	"2014"	"Sacramento"	"4"	"0"	"0"	"5"	"0"	"69"	"5"	"5"	"8"	"1"	"31"	"2"	"44"
"Tehama"	"September"	"2014"	"North"	"8"	"0"	"0"	"0"	"3"	"144"	"33"	"4"	"19"	"3"	"28"	"1"	"37"
"Trinity"	"September"	"2014"	"North"	"2"	"0"	"0"	"1"	"0"	"17"	"5"	"1"	"0"	"0"	"2"	"0"	"10"
"Tulare"	"September"	"2014"	"Central"	"19"	"1"	"7"	"3"	"29"	"367"	"7"	"39"	"16"	"21"	"567"	"9"	"122"
"Tuolumne"	"September"	"2014"	"Central"	"2"	"0"	"1"	"0"	"0"	"35"	"6"	"1"	"0"	"1"	"38"	"0"	"56"
"Yolo"	"September"	"2014"	"Sacramento"	"12"	"0"	"2"	"0"	"4"	"104"	"9"	"4"	"5"	"8"	"93"	"1"	"24"
"Yuba"	"September"	"2014"	"Sacramento"	"2"	"0"	"2"	"0"	"0"	"106"	"12"	"4"	"5"	"8"	"41"	"6"	"17"
"Contra Costa"	"December"	"2013"	"Bay"	"11"	"3"	"3"	"0"	"0"	"237"	"34"	"12"	"2"	"16"	"230"	"6"	"89"
"Glenn"	"December"	"2013"	"North"	"3"	"0"	"0"	"0"	"0"	"16"	"2"	"0"	"0"	"0"	"12"	"0"	"4"
"Ventura"	"December"	"2013"	"South"	"14"	"2"	"0"	"8"	"3"	"513"	"63"	"18"	"45"	"7"	"123"	"7"	"150"
"Alameda"	"March"	"2014"	"Bay"	"37"	"4"	"13"	"14"	"7"	"545"	"41"	"53"	"25"	"0"	"47"	"2"	"209"
"Marin"	"March"	"2014"	"Bay"	"0"	"0"	"0"	"1"	"0"	"43"	"7"	"2"	"2"	"4"	"20"	"2"	"57"
